['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 320), (-300, 0), (281, 159), True, False, False, True, False, False]', '(280, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(240, 320), (-300, 0), (281, 159), True, False, False, True, False, False]', '(240, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 320), (-300, 0), (126, 149), True, False, False, True, False, False]', '(200, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(160, 320), (-300, 0), (126, 149), True, False, False, True, False, False]', '(160, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(120, 320), (-300, 0), (126, 149), True, False, False, True, False, False]', '(120, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(80, 320), (-300, 0), (12, 159), True, False, False, True, False, False]', '(80, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(120, 320), (300, 0), (12, 159), True, False, True, False, False, False]', '(120, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(160, 320), (300, 0), (95, 162), True, False, True, False, False, False]', '(160, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 320), (300, 0), (209, 141), True, False, True, False, False, False]', '(200, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(240, 320), (300, 0), (262, 155), True, False, True, False, False, False]', '(240, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 320), (300, 0), (277, 158), True, False, True, False, False, False]', '(280, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (300, 0), (312, 166), True, False, True, False, False, False]', '(320, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (401, 171), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (401, 171), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (570, 263), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (570, 263), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
